program;level;price;plan_state;plan_rus;plan_foreign;format;income_percent;program_bitrix
Germanica: история и современность;master;;;;;offline;;
UX-аналитика и проектирование информационных систем;master;;;;;offline;;
Анализ данных в биологии и медицине;master;;;;;offline;;
Анализ данных в девелопменте;master;;;;;offline;;
Анализ данных для государства и общества;master;;;;;offline;;
Аналитик деловой разведки;master;;;;;offline;;
Аналитика больших данных;master;490;0;200;5;online;50;АБД. Аналитика больших данных / Москва / 010402 Прикладная математика и информатика / факультет компьютерных наук / Магистратура
Аналитика данных для бизнеса и экономики;master;;;;;offline;;
Аналитика данных и прикладная статистика;master;440;0;110;3;online;100;АДиПС. Аналитика данных и прикладная статистика / Москва / 010402 Прикладная математика и информатика / факультет социальных наук / Магистратура
Античная и восточная археология;master;;;;;offline;;
Аппаратно-программные комплексы искусственного интеллекта;master;;;;;offline;;
Бизнес- и ИТ-архитектура высокотехнологичных компаний;master;;;;;offline;;
Бизнес-аналитика;master;;;;;offline;;
Бизнес-аналитика в экономике и менеджменте;master;;;;;offline;;
Бизнес-аналитика и системы больших данных;master;;;;;offline;;
Бизнес-информатика;master;;;;;offline;;
Бизнес-информатика: цифровое предприятие и управление информационными системами;master;;;;;offline;;
Восточноевропейские исследования;master;;;;;offline;;
Вычислительная биология и биоинформатика;master;;;;;offline;;
Глобальная и региональная история;master;;;;;offline;;
Городское развитие и управление;master;;;;;offline;;
Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений;master;;;;;offline;;
Государственное и муниципальное управление;master;;;;;offline;;
Гражданское и коммерческое право;master;;;;;offline;;
Демография;master;;;;;offline;;
Дизайн;master;;;;;offline;;
Дизайн среды;master;;;;;offline;;
Доказательное развитие образования;master;;;;;offline;;
Биоинформатика в агробиотехнологиях;master;490;15;15;0;online_part;100;БИОИНФ. Биоинформатика в агробиотехнологиях / Москва / 010402 Прикладная математика и информатика / Общий / Магистратура
Глобальные цифровые коммуникации - онлайн (О К);bachelor;500;0;120;4;online;100;ГЦК. Глобальные цифровые коммуникации / Москва / 420301 Реклама и связи с общественностью / факультет креативных индустрий / Бакалавриат
Иностранные языки и межкультурная коммуникация;master;;;;;offline;;
Интегрированные коммуникации;master;;;;;offline;;
Интеллектуальный анализ данных;master;;;;;offline;;
Интерактивные медиа и цифровые индустрии;master;;;;;offline;;
Глобальные цифровые коммуникации (Медиа) - онлайн (О К);bachelor;500;0;35;2;online;100;ГЦК. Глобальные цифровые коммуникации / Москва / 420305 Медиакоммуникации / факультет креативных индустрий / Бакалавриат
Интернет вещей и киберфизические системы;master;;;;;offline;;
Информационная безопасность в кредитно-финансовой сфере;master;;;;;offline;;
Информационная безопасность и технологии искусственного интеллекта;master;;;;;offline;;
Дизайн - онлайн (О К);bachelor;420;0;400;7;online;100;ДИЗБАК. Дизайн / НИУ ВШЭ Пермь / 540301 Дизайн / Факультет социальноэкономических и компьютерных наук / Бакалавриат
Инвестиции на финансовых рынках;master;440;0;120;1;online;100;ИФР. Инвестиции на финансовых рынках / Москва / 380408 Финансы и кредит / факультет экономических наук / Магистратура
Инженерия данных;master;470;0;150;5;online;50;ИНЖДАН. Инженерия данных / Москва / 090404 Программная инженерия / факультет компьютерных наук / Магистратура
Исследования и предпринимательство в искусственном интеллекте;master;;;;;offline;;
История современного мира;master;;;;;offline;;
История художественной культуры и рынок искусства;master;;;;;offline;;
Интерактивный дизайн;master;430;0;100;1;online;100;ИНТДИЗ. Интерактивный дизайн / Москва / 540401 Дизайн / факультет креативных индустрий / Магистратура
Искусственный интеллект;master;520;0;350;5;online;100;ИСКИНТ. Искусственный интеллект / Москва / 010402 Прикладная математика и информатика / факультет компьютерных наук / Магистратура
Кинопроизводство;master;;;;;offline;;
Классический и современный Восток: языки, культуры, религии;master;;;;;offline;;
Клеточная и молекулярная биотехнология;master;;;;;offline;;
Когнитивные науки и технологии: от нейрона к познанию;master;;;;;offline;;
Коммуникации в государственных структурах и НКО;master;;;;;offline;;
Коммуникационный и цифровой дизайн;master;0;;0;0;offline;100;
Комплаенс и профилактика правовых рисков;master;;;;;offline;;
Комплексный социальный анализ;master;;;;;offline;;
Компьютерная лингвистика;master;;;;;offline;;
Компьютерные системы и сети;master;;;;;offline;;
Корпоративные финансы;master;;;;;offline;;
Критические медиаисследования;master;;;;;offline;;
Кросс-культурные исследования Азии и Африки в контексте международных отношений;master;;;;;offline;;
Культурные исследования;master;;;;;offline;;
Искусственный интеллект в маркетинге и управлении продуктом;master;490;0;160;5;online;100;ИИвМАРК. Искусственный интеллект в маркетинге и управлении продуктом / Москва / 010402 Прикладная математика и информатика / факультет компьютерных наук / Магистратура
Лингвистическая теория и описание языка;master;;;;;offline;;
Литературное мастерство;master;;;;;offline;;
Искусственный интеллект и компьютерное зрение;master;430;0;60;10;online;100;ИИиКЗ. Искусственный интеллект и компьютерное зрение / НИУ ВШЭ Нижний Новгород / 010402 Прикладная математика и информатика / Факультет информатики математики и компьютерных наук / Магистратура
ИТ – юрист;master;380;0;70;2;online;100;ИТЮРИСТ. ИТ – юрист / НИУ ВШЭ Пермь / 400401 Юриспруденция / Магистерская школа / Магистратура
Маркетинг;master;;;;;offline;;
Кибербезопасность;master;490;0;150;10;online;50;КИБЕРБЕЗ. Кибербезопасность / Москва / 100401 Информационная безопасность / Московский институт электроники и математики им АН Тихонова / Магистратура
Маркетинг: цифровые технологии и маркетинговые коммуникации;master;;;;;offline;;
Математика;master;;;;;offline;;
Математика машинного обучения;master;;;;;offline;;
Машинное обучение и анализ данных;master;;;;;offline;;
Медиаменеджмент;master;;;;;offline;;
Медиапроизводство и медиааналитика;master;;;;;offline;;
Международная торговая политика;master;;;;;offline;;
Международные отношения: европейские и азиатские исследования;master;;;;;offline;;
Китайский язык в межкультурной бизнес-коммуникации;master;490;0;50;5;online;100;КИТЯЗ. Китайский язык в межкультурной бизнес-коммуникации.
Международный бизнес в странах Азиатско-Тихоокеанского региона;master;;;;;offline;;
Международный корпоративный комплаенс и этика бизнеса;master;;;;;offline;;
Международный менеджмент;master;;;;;offline;;
Международный спортивный менеджмент, маркетинг и право;master;;;;;offline;;
Менеджмент в индустрии впечатлений;master;;;;;offline;;
Менеджмент в ритейле;master;;;;;offline;;
Мировая экономика;master;;;;;offline;;
Мода;master;;;;;offline;;
Мусульманские миры в России (История и культура);master;;;;;offline;;
Население и развитие;master;;;;;offline;;
Науки о данных;master;;;;;offline;;
Обучение и оценивание как наука;master;;;;;offline;;
Операционная эффективность и производственные системы;master;;;;;offline;;
Педагогическое образование;master;;;;;offline;;
Персонология. Консультативная психология и психотерапия;master;;;;;offline;;
Позитивная психология;master;;;;;offline;;
Политика. Экономика. Философия;master;;;;;offline;;
Право и государственное управление;master;;;;;offline;;
Право интеллектуальной собственности в цифровую эпоху;master;;;;;offline;;
Право международной торговли и разрешение споров;master;;;;;offline;;
Правовое обеспечение и защита бизнеса;master;;;;;offline;;
Правовое обеспечение предпринимательской деятельности;master;;;;;offline;;
Практики кураторства в современном искусстве;master;;;;;offline;;
Практики современного искусства;master;;;;;offline;;
Прикладная лингвистика и текстовая аналитика;master;;;;;offline;;
Прикладная политология;master;;;;;offline;;
Компьютерные науки и анализ данных - онлайн (О К);bachelor;550;0;150;10;online;100;КНАД. Компьютерные науки и анализ данных / Москва / 010302 Прикладная математика и информатика / факультет компьютерных наук / Бакалавриат
Прикладная электроника и фотоника;master;;;;;offline;;
Прикладные модели искусственного интеллекта;master;;;;;offline;;
"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи ""Экономика, политика и бизнес в Азии""";master;;;;;offline;;
Продуктовый подход и аналитика данных в HR-менеджменте;master;;;;;offline;;
ЛигалТех;master;440;0;60;1;online;50;ЛИГТЕХ. ЛигалТех / Москва / 010402 Прикладная математика и информатика / факультет права / Магистратура
Пространственные данные и прикладная геоаналитика;master;;;;;offline;;
Магистр аналитики бизнеса;master;440;0;145;3;online;100;МАБ. Магистр аналитики бизнеса / Москва / 380408 Финансы и кредит / факультет экономических наук / Магистратура
Магистр по наукам о данных;master;490;0;200;20;online;100;МНАД. Магистр по наукам о данных / Москва / 010402 Прикладная математика и информатика / факультет компьютерных наук / Магистратура
Психология в бизнесе;master;;;;;offline;;
Публичное право;master;;;;;offline;;
Религия и общество;master;;;;;offline;;
Русская литература в кросс-культурной и интермедиальной перспективах;master;;;;;offline;;
Русская литература и компаративистика;master;;;;;offline;;
Русский как иностранный во взаимодействии языков и культур;master;;;;;offline;;
Русь и средневековый мир;master;;;;;offline;;
Системная и программная инженерия;master;;;;;offline;;
Системная семейная психотерапия;master;;;;;offline;;
Системное программирование;master;;;;;offline;;
Системный анализ и математические технологии;master;;;;;offline;;
Совместная магистратура НИУ ВШЭ и ЦПМ;master;;;;;offline;;
Современная журналистика;master;;;;;offline;;
Современная филология в преподавании русского языка и литературы в школе;master;;;;;offline;;
Современное частное право;master;;;;;offline;;
Современные компьютерные науки;master;;;;;offline;;
Современные социальные науки в преподавании обществознания в школе;master;;;;;offline;;
Современные технологии преподавания дизайна и искусства;master;;;;;offline;;
Современные филологические практики: поэтика, интерпретация, комментарий;master;;;;;offline;;
Современный социальный анализ;master;;;;;offline;;
Социально-экономическое и политическое развитие современной Азии;master;;;;;offline;;
Социальный анализ рынков на цифровых и опросных данных;master;;;;;offline;;
Социология публичной сферы и цифровая аналитика;master;;;;;offline;;
Сравнительная политика Евразии;master;;;;;offline;;
Сравнительные социальные исследования;master;;;;;offline;;
Статистический анализ в экономике;master;;;;;offline;;
Стохастическое моделирование в экономике и финансах;master;;;;;offline;;
Стратегический менеджмент: инвестиции и консалтинг;master;;;;;offline;;
Стратегическое управление логистикой и цепями поставок;master;;;;;offline;;
Стратегическое управление финансами фирмы;master;;;;;offline;;
Теоретическое и сравнительное правоведение;master;;;;;offline;;
Управление в высшем образовании;master;;;;;offline;;
Маркетинг - менеджмент;master;500;0;200;2;online;100;ОНМАРКМЕН. Маркетинг менеджмент / Москва / 380402 Менеджмент / Высшая школа бизнеса / Магистратура
Управление в сфере науки, технологий и инноваций;master;;;;;offline;;
Управление и экономика здравоохранения;master;;;;;offline;;
Международный бизнес;master;510;0;60;10;online_part;100;МЕЖДБИЗ. Международный бизнес / Москва / 380402 Менеджмент / Кафедра менеджмента инноваций / Магистратура
Управление исследованиями, разработками и инновациями в компании;master;;;;;offline;;
Управление низкоуглеродным развитием;master;;;;;offline;;
Управление образованием;master;;;;;offline;;
Педагогический дизайн: теория и практика обучения;master;390;0;55;3;online;100;ПЕДДИЗ. Педагогический дизайн теория и практика обучения / Москва / 440401 Педагогическое образование / Институт образования / Магистратура
Управление пространственным развитием городов;master;;;;;offline;;
Управление развитием бизнеса;master;;;;;offline;;
Управление развитием компании;master;;;;;offline;;
Прикладная лингвистика: обучение иностранному языку и перевод в цифровой среде;master;330;0;50;1;online;100;ПРИКЛИНГ. Прикладная лингвистика обучение иностранному языку и перевод в цифровой среде / НИУ ВШЭ СанктПетербург / 450403 Фундаментальная и прикладная лингвистика / Факультет СанктПетербургская школа гуманитарных наук и искусств / Магистратура
Прикладная социальная психология;master;440;20;5;2;online;100;ПСП. Прикладная социальная психология / Москва / 370401 Психология / факультет социальных наук / Магистратура
Фармправо и здравоохранение;master;;;;;offline;;
Физика;master;;;;;offline;;
Философская антропология;master;;;;;offline;;
Финансовая экономика;master;;;;;offline;;
Финансовые рынки и финансовые институты;master;;;;;offline;;
Финансовые стратегии и аналитика;master;;;;;offline;;
Финансовые технологии и анализ данных;master;;;;;offline;;
Финансовый аналитик;master;;;;;offline;;
Финансовый инжиниринг;master;;;;;offline;;
Программные системы и автоматизация процессов разработки - онлайн (О К);bachelor;350;0;100;3;online;50;ПРОГСИС. Программные системы и автоматизация процессов разработки / НИУ ВШЭ Пермь / 090304 Программная инженерия / Факультет социальноэкономических и компьютерных наук / Бакалавриат
Химия молекулярных систем и материалов;master;;;;;offline;;
Проектирование и разработка высоконагруженных информационных систем;master;500;0;20;0;online;100;ПРВИС. Проектирование и разработка высоконагруженных информационных систем / НИУ ВШЭ СанктПетербург / 010402 Прикладная математика и информатика / Факультет СанктПетербургская школа физикоматематических и компьютерных наук / Магистратура
Цифровое право;master;;;;;offline;;
Цифровые коммуникации и продуктовая аналитика;master;;;;;offline;;
Цифровые методы в гуманитарных науках;master;;;;;offline;;
Экономика и экономическая политика;master;;;;;offline;;
Экономика окружающей среды и устойчивое развитие;master;;;;;offline;;
Психоанализ и психоаналитическая психотерапия;master;700;0;130;10;online_part;100;ПСИХТЕР. Психоанализ и психоаналитическая психотерапия / Москва / 370401 Психология / факультет социальных наук / Магистратура
Электронный бизнес и цифровые инновации;master;;;;;offline;;
Юрист в бизнесе;master;;;;;offline;;
Юрист в правосудии;master;;;;;offline;;
Юрист мирового финансового рынка;master;;;;;offline;;
Языковая политика в условиях этнокультурного разнообразия;master;;;;;offline;;
Языковые технологии в бизнесе и образовании;master;;;;;offline;;
Психоанализ и психоаналитическое бизнес-консультирование;master;800;0;165;10;online_part;100;ППиБИЗКОНС. Психоанализ и психоаналитическое бизнесконсультирование / Москва / 370401 Психология / факультет социальных наук / Магистратура
Управление бизнесом - онлайн (О К);bachelor;350;0;100;5;online;100;УПРБИЗН. Управление бизнесом / НИУ ВШЭ Пермь / 380302 Менеджмент / Факультет социальноэкономических и компьютерных наук / Бакалавриат
Управление в креативных индустриях;master;430;0;100;1;online;100;УКИ. Управление в креативных индустриях / Москва / 380402 Менеджмент / факультет креативных индустрий / Магистратура
Управление инновационным бизнесом;master;410;0;160;10;online;100;УИБ. Управление инновационным бизнесом / Москва / 270405 Инноватика / Кафедра менеджмента инноваций / Магистратура
Управление организациями и проектами;master;400;0;250;3;online;100;УОиП. Управление организациями и проектами / НИУ ВШЭ Нижний Новгород / 380402 Менеджмент / Факультет менеджмента / Магистратура
Управление стратегическими коммуникациями;master;390;0;250;2;online;100;УСК. Управление стратегическими коммуникациями / Москва / 420401 Реклама и связи с общественностью / факультет креативных индустрий / Магистратура
Управление цифровым продуктом;master;500;0;200;5;online;100;УЦП. Управление цифровым продуктом / Москва / 380405 Бизнесинформатика / Высшая школа бизнеса / Магистратура
Финансы;master;440;0;150;3;online;100;ФИНОНЛ. Финансы / Москва / 380408 Финансы и кредит / Банковский институт / Магистратура
Цифровая инженерия для компьютерных игр;master;400;0;55;1;online;100;ЦИФРИНЖЕН. Цифровая инженерия для компьютерных игр / Москва / 010404 Прикладная математика / Московский институт электроники и математики им АН Тихонова / Магистратура
Цифровая урбанистика и аналитика города;master;440;0;55;5;online;100;ЦУИАГ. Цифровая урбанистика и аналитика города / Москва / 070404 Градостроительство / факультет городского и регионального развития / Магистратура
Цифровой маркетинг;master;370;0;150;0;online;100;ЦИФРМАРК. Цифровой маркетинг / НИУ ВШЭ Нижний Новгород / 380402 Менеджмент / Факультет менеджмента / Магистратура
Экономический анализ;master;390;0;165;10;online;100;ЭКАНМАГ. Экономический анализ / Москва / 380401 Экономика / факультет экономических наук / Магистратура
Экономический анализ - онлайн (О К);bachelor;510;0;70;3;online;100;БАКЭКАН. Экономический анализ / Москва / 380301 Экономика / факультет экономических наук / Бакалавриат